Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1995/3/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
1995/4/1,CONFLICT MAN WILD FAUNA,1,3,0,0,0,0,0,17,0,0
1995/4/1,DROUGHT,1,0,0,0,0,0,0,5737,0,0
1995/4/1,PLAGUE,1,1,0,0,0,0,0,0,0,0
1995/8/1,EPIDEMIC,1,0,0,0,0,0,0,0,0,0
1995/8/1,FOREST FIRE,3,0,0,0,0,0,0,0,0,0
1995/9/1,DROUGHT,1,1,0,0,0,0,0,0,0,0
1995/10/1,CONFLICT MAN WILD FAUNA,2,0,0,0,0,0,0,3618,0,0
1995/10/1,DROUGHT,1,0,0,0,0,0,0,3838,0,0
1995/10/1,FIRE,1,0,0,0,338,0,0,2055,0,0
1995/10/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1995/10/1,STRONG WIND,1,0,0,0,0,0,0,0,0,0
1995/11/1,DROUGHT,1,0,0,0,0,0,0,31000,0,0
1995/11/1,STORM,1,2,3,0,21,0,0,0,0,0
1995/12/1,CONFLICT MAN WILD FAUNA,1,1,0,0,0,0,3,0,0,0
1996/1/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1996/1/1,EPIDEMIC,2,337,0,0,0,0,4274,269,0,0
1996/1/1,FLASH FLOOD,2,0,0,0,0,0,0,0,0,0
1996/1/1,FLOOD,5,0,0,0,0,0,0,17586,0,0
1996/1/1,PLAGUE,1,0,0,0,0,0,96,96,0,0
1996/1/1,RAINS,1,0,0,0,328,0,0,0,0,0
1996/1/1,STRONG WIND,1,0,0,0,476,0,0,0,0,0
1996/1/1,CYCLONE,11,6,10,0,1640,117,0,98727,0,0
1996/1/1,DROUGHT,1,0,0,0,0,0,0,8737,0,0
1996/1/1,FLASH FLOOD,2,0,0,0,0,0,0,1500,0,0
1996/1/1,FLOOD,8,5,0,0,892,0,0,55193,0,0
1996/2/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
1996/2/1,FLOOD,4,11,0,0,0,21700,5,144255,0,0
1996/2/1,PLAGUE,2,0,0,0,292,62,0,255,0,0
1996/2/1,RAINS,5,1,4,0,0,0,0,54240,0,0
1996/3/1,EPIDEMIC,1,0,0,0,0,0,0,3859,0,0
1996/3/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1996/3/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1996/4/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
1996/4/1,DROUGHT,1,0,0,0,0,0,0,24602,0,0
1996/4/1,FLASH FLOOD,2,0,0,0,0,0,0,0,0,0
1996/4/1,PLAGUE,3,0,0,0,0,0,0,0,0,0
1996/6/1,DROUGHT,1,0,0,0,0,0,0,18,0,0
1996/10/1,CYCLONE,1,0,0,0,50,0,0,0,0,0
1996/10/1,PLAGUE,1,0,0,0,0,0,0,28899,0,0
1996/12/1,CONFLICT MAN WILD FAUNA,1,1,0,0,0,0,0,0,0,0
1996/12/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1996/12/1,RAINS,1,0,0,0,0,0,0,0,0,0
1996/12/1,STRONG WIND,1,0,0,0,0,0,0,0,0,0
1997/1/1,CONFLICT MAN WILD FAUNA,3,2,3,0,0,0,0,0,0,0
1997/1/1,DROUGHT,17,0,0,0,0,0,0,43035,0,0
1997/1/1,EPIDEMIC,3,79,0,0,0,0,1041,0,0,0
1997/1/1,FLASH FLOOD,5,35,0,0,391,0,0,100454,0,60743
1997/1/1,FLOOD,6,4,0,0,2317,0,0,57203,0,0
1997/1/1,FOREST FIRE,2,0,0,0,0,0,0,0,0,0
1997/1/1,PLAGUE,8,18,0,0,0,0,790,0,0,0
1997/1/1,STRONG WIND,1,0,0,0,0,0,0,0,0,0
1997/1/1,FLASH FLOOD,5,0,0,0,0,0,0,9760,0,0
1997/1/1,FLOOD,18,31,0,0,16977,0,8290,724654,11651,21871
1997/1/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1997/1/1,RAINS,1,0,0,0,0,0,0,0,0,0
1997/1/1,TROP. DEPRESS.,3,0,0,0,4311,0,0,34030,0,0
1997/2/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1997/2/1,FLASH FLOOD,1,1,0,0,0,0,0,3975,0,0
1997/2/1,FLOOD,19,34,0,0,18477,514,8,284929,1000,5000
1997/2/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1997/2/1,STORM,2,0,0,0,14,0,0,0,0,0
1997/3/1,CYCLONE,7,17,21,0,18115,0,0,74000,0,0
1997/3/1,DROUGHT,4,0,0,0,0,0,0,10898,0,0
1997/3/1,FLASH FLOOD,1,6,0,3,251,0,0,30300,0,0
1997/3/1,FLOOD,6,9,0,0,1255,156,0,187602,482,0
1997/3/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1997/3/1,STORM,1,0,0,0,0,0,0,0,0,0
1997/4/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1997/4/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
1997/4/1,FLOOD,1,0,0,0,0,0,0,12912,0,0
1997/4/1,STORM,1,0,0,0,0,0,0,0,0,0
1997/5/1,FLOOD,1,0,0,0,6,52,0,5148,0,0
1997/6/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
