Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
2010/5/1,FLOOD,8,0,0,0,61,0,285,0,0,0
2010/6/1,Epizooty,1,0,0,0,0,0,0,131,0,0
2010/6/1,FLOOD,22,2,18,0,272,27,1625,0,0,0
2010/6/1,THUNDERSTORM,1,1,0,0,0,0,0,0,0,0
2010/7/1,Epizooty,1,0,0,0,0,0,0,400,0,0
2010/7/1,FLOOD,36,4,6,0,1575,0,4771,0,0,0
2010/8/1,Epizooty,2,0,0,0,0,0,0,129,0,0
2010/8/1,FLOOD,60,13,22,0,1422,546,11282,7039,1330,0
2010/9/1,FLOOD,126,110,168,0,5555,411,25659,5842,1020,0
2010/10/1,Epizooty,5,0,0,0,0,0,0,1197,0,0
2010/10/1,FLOOD,13,0,0,0,1028,0,5352,0,0,0
2010/11/1,Epizooty,6,0,0,0,0,0,0,1373,0,0
2010/11/1,FLOOD,3,1,10,0,0,0,11,0,0,0
2010/12/1,Epizooty,5,0,0,0,0,0,0,6775,0,0
2011/1/1,EPIDEMIC,8,24,0,0,0,0,0,789,0,0
2011/1/1,Epizooty,4,0,0,0,0,0,0,17148,0,0
2011/2/1,Epizooty,5,0,0,0,0,0,0,18324,0,0
2011/2/1,FOREST FIRE,6,0,0,0,0,0,0,0,0,0
2011/3/1,Epizooty,1,0,0,0,0,0,0,845,0,0
2011/3/1,FLOOD,2,0,0,0,33,1,75,0,0,0
2011/3/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2011/4/1,Epizooty,5,0,0,0,0,0,0,2641,0,0
2011/4/1,FOREST FIRE,3,0,0,0,0,0,0,0,0,0
2011/4/1,LOCUST CRISIS,4,0,0,0,0,0,0,0,0,0
2011/4/1,Rodent,1,0,0,0,0,0,0,0,0,0
2011/5/1,Epizooty,4,0,0,0,0,0,0,1612,0,0
2011/5/1,LOCUST CRISIS,3,0,0,0,0,0,0,0,0,0
2011/5/1,Rodent,1,0,0,0,0,0,0,0,0,0
2011/5/1,WINDSTORM,1,0,0,0,0,0,0,0,0,0
2011/6/1,Chenille,6,0,0,0,0,0,0,0,0,0
2011/6/1,Epizooty,3,0,0,0,0,0,0,872,0,0
2011/6/1,LOCUST CRISIS,3,0,0,0,0,0,0,0,0,0
2011/6/1,THUNDERSTORM,2,2,0,0,0,0,0,0,0,0
2011/6/1,WINDSTORM,1,0,6,0,43,0,146,0,0,0
2011/7/1,BEETLE,6,0,0,0,0,0,0,0,0,0
2011/7/1,Epizooty,1,0,0,0,0,0,0,48,0,0
2011/7/1,FLOOD,3,3,2,0,24,50,0,0,0,0
2011/7/1,GRANIVORE BIRDS,2,0,0,0,0,0,0,0,0,0
2011/7/1,LOCUST CRISIS,11,0,0,0,0,0,0,0,0,0
2011/7/1,THUNDERSTORM,2,3,2,0,0,0,0,0,0,0
2011/8/1,BEETLE,6,0,0,0,0,0,0,0,0,0
2011/8/1,FLOOD,19,1,0,0,2036,59,18242,0,0,0
2011/8/1,GRANIVORE BIRDS,3,0,0,0,0,0,0,0,0,0
2011/8/1,LOCUST CRISIS,11,0,0,0,0,0,0,0,0,0
2011/9/1,BEETLE,6,0,0,0,0,0,0,0,0,0
2011/9/1,GRANIVORE BIRDS,3,0,0,0,0,0,0,0,0,0
2011/9/1,LOCUST CRISIS,12,0,0,0,0,0,0,0,0,0
2011/10/1,Epizooty,1,0,0,0,0,0,0,300,0,0
2011/10/1,FOREST FIRE,3,0,0,0,0,0,0,0,0,0
2012/1/1,DROUGHT,213,0,0,0,0,0,0,3623189,0,0
2012/1/1,FLOOD,32,0,0,0,0,1935,6600,24213,0,0
2012/5/1,DROUGHT,2,0,0,0,0,0,0,61452,0,0
2012/5/1,FLOOD,7,0,0,0,928,0,2937,0,0,0
2012/6/1,FLOOD,6,0,0,0,84,0,1226,0,0,0
2012/7/1,DROUGHT,5,0,0,0,0,0,0,2580,0,0
2012/7/1,FLOOD,13,6,7,0,419,37,938,0,0,0
2012/8/1,DROUGHT,3,0,0,0,0,0,0,3979,0,0
2012/8/1,FLOOD,110,14,33,0,8021,2042,49803,0,0,450
2012/9/1,FLOOD,14,1,10,0,342,46,1353,0,0,0
2012/10/1,FLOOD,1,0,1,0,1,0,0,0,0,0
2012/11/1,DROUGHT,3,0,0,0,0,0,0,2241,0,0
2013/5/1,FLOOD,1,0,0,0,0,70,157,0,0,0
2013/6/1,FLOOD,3,0,0,0,121,108,59,0,0,0
2013/8/1,FLOOD,11,0,4,0,296,591,918,0,0,0
2013/9/1,FLOOD,24,43,8,18,446,357,16996,0,0,0
2014/2/1,FIRE,3,0,5,0,0,0,0,0,0,0
2014/3/1,FIRE,3,0,0,0,0,70,0,0,0,0
2014/4/1,FIRE,1,0,0,0,0,0,0,0,0,0
2014/5/1,FIRE,1,0,1,0,0,1,0,0,0,0
2014/6/1,FLOOD,4,0,0,0,0,185,0,0,0,0
2014/7/1,FLOOD,2,4,0,0,0,29,0,0,0,0
2014/8/1,FLOOD,4,0,1,0,12,51,209,0,0,0
2014/10/1,FLOOD,1,3,0,10,3,600,0,10000,0,0
2014/11/1,FLOOD,1,0,0,0,0,83,405,0,0,0
