Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
2007/7/1,HEAT WAVE,1,0,0,0,0,0,0,5,0,0
2007/11/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
2008/1/1,EPIDEMIC,1,13,0,0,0,0,0,0,0,0
2008/1/1,SNOWSTORM,2,0,0,0,0,0,0,0,0,0
2008/1/1,SNOWSTORM,1,0,0,0,1,0,0,15,0,70
2008/2/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
2008/2/1,SNOWSTORM,17,0,65,0,0,4,0,0,0,64
2008/3/1,FROST,3,0,0,0,0,0,0,0,0,0
2009/3/1,EPIDEMIC,1,0,0,0,0,0,0,0,0,0
2009/5/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2009/6/1,FIRE,1,0,0,0,0,0,0,0,0,0
2009/7/1,FIRE,1,0,0,0,0,0,0,0,0,0
2009/7/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2009/11/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
2009/11/1,FLOOD,6,0,0,0,0,0,0,0,0,0
2009/11/1,LANDSLIDE,1,0,0,0,0,3,0,0,0,0
2009/11/1,RAINS,1,0,0,0,0,0,0,0,0,0
2009/11/1,SNOWSTORM,7,0,49,0,0,10,0,268,0,1211
2010/1/1,PLAGUE,9,0,0,0,0,0,0,3159,0,0
2010/1/1,STRUCTURAL COLLAPSE,1,0,0,0,1,0,0,0,0,0
2010/1/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
2010/1/1,FROST,10,0,0,0,0,0,0,0,0,0
2010/1/1,RAINS,1,0,0,0,0,4,0,20,0,0
2010/1/1,STRUCTURAL COLLAPSE,3,0,0,0,0,1,0,0,0,0
2010/2/1,FLOOD,4,0,0,1,0,2,0,0,0,8
2010/2/1,FROST,11,0,0,0,0,0,0,0,0,0
2010/2/1,LANDSLIDE,2,0,0,0,0,3,0,0,0,0
2010/2/1,RAINS,3,0,0,8,0,0,0,4,0,4
2010/2/1,SNOWSTORM,6,0,0,25,0,0,0,0,0,0
2010/3/1,FLOOD,1,0,0,0,0,0,0,0,0,26
2010/3/1,FROST,1,0,0,0,0,0,0,0,0,0
2010/3/1,STRUCTURAL COLLAPSE,1,5,6,0,0,1,1,0,0,0
2010/4/1,FROST,3,0,0,0,0,0,0,0,0,0
2010/5/1,FOREST FIRE,3,0,0,0,0,0,0,0,0,0
2010/5/1,LANDSLIDE,1,0,0,0,0,3,0,0,0,16
2010/6/1,FIRE,2,0,0,0,0,0,0,0,0,0
2010/6/1,FOREST FIRE,3,0,4,0,0,0,0,0,0,4
2010/10/1,EPIDEMIC,1,0,0,0,0,0,0,0,0,0
2010/10/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
2010/10/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2010/10/1,FROST,2,0,0,0,0,0,0,0,0,0
2010/11/1,FROST,1,0,0,0,0,0,0,0,0,0
2010/12/1,FROST,13,0,0,0,0,0,0,0,0,0
2010/12/1,SNOWSTORM,5,0,0,0,0,0,0,17,0,17
2011/1/1,PLAGUE,20,0,0,0,0,0,0,0,0,0
2011/1/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
2011/1/1,EPIDEMIC,1,0,0,0,0,0,0,5,0,0
2011/1/1,FROST,8,0,0,0,0,0,0,0,0,0
2011/2/1,FROST,7,0,0,0,0,0,0,0,0,0
2011/2/1,SANDSTORM,2,0,20,0,0,0,0,20,0,77
2011/3/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
2011/3/1,FROST,8,0,0,0,0,0,0,0,0,0
2011/3/1,STRUCTURAL COLLAPSE,1,2,4,0,0,0,0,4,0,6
2011/4/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
2011/4/1,FROST,1,0,0,0,0,0,0,0,0,0
2011/4/1,RAINS,1,0,0,0,0,0,0,7,0,7
2011/4/1,SANDSTORM,1,0,7,0,0,0,0,7,0,0
2011/5/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
2011/5/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2011/6/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2011/7/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2011/8/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
2011/8/1,FOREST FIRE,2,0,7,0,0,0,0,0,0,7
2011/9/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
2011/11/1,FIRE,1,1,37,0,0,0,0,1047,0,1047
2011/11/1,FROST,8,0,0,0,0,0,0,0,0,0
2011/12/1,FLOOD,2,0,0,0,0,0,0,0,0,0
2011/12/1,FROST,14,0,0,0,0,0,0,0,0,0
2012/1/1,SNOWSTORM,2,0,0,0,0,0,0,0,0,0
2012/2/1,SNOWSTORM,3,0,0,0,0,0,0,0,0,0
2012/3/1,SNOWSTORM,1,0,0,0,0,0,0,0,0,0
2012/12/1,SNOWSTORM,1,0,0,0,0,0,0,0,0,0
2018/1/1,ACCIDENT,3,0,48,0,0,0,0,0,0,0
2018/1/1,FIRE,1,3,0,0,0,0,0,0,0,0
2018/2/1,ACCIDENT,2,1,62,0,0,0,0,0,0,0
2018/2/1,FLOOD,1,0,35,0,15,0,0,35,0,35
2018/3/1,ACCIDENT,1,2,1,0,0,0,0,0,0,0
2018/4/1,ACCIDENT,2,2,73,0,0,0,0,0,0,35
2018/4/1,FLOOD,1,0,55,0,0,0,0,0,0,0
2018/6/1,ACCIDENT,1,3,2,0,0,0,0,0,0,0
2018/7/1,ACCIDENT,5,18,72,0,0,0,0,0,0,0
2018/7/1,FIRE,1,1,5,0,0,0,0,0,0,0
2018/8/1,ACCIDENT,1,4,29,0,0,0,0,0,0,0
2018/8/1,FIRE,2,0,8,0,0,0,0,0,0,0
2018/10/1,ACCIDENT,1,0,59,0,0,0,0,0,0,0
2018/10/1,FLOOD,1,21,33,0,0,0,0,0,0,0
2018/11/1,FLASH FLOOD,1,12,23,0,0,0,0,0,0,81
2019/1/1,ACCIDENT,1,0,7,0,0,0,0,0,0,0
2019/1/1,FIRE,2,3,14,0,0,1,0,0,0,2
2019/2/1,ACCIDENT,3,0,24,0,0,0,0,0,0,0
2019/2/1,FIRE,1,0,19,0,0,0,0,0,0,0
2019/2/1,LANDSLIDE,1,0,10,0,0,0,0,0,0,0
2019/3/1,ACCIDENT,1,0,11,0,0,0,0,0,0,0
2019/3/1,FIRE,1,0,5,0,0,0,0,0,0,0
2019/4/1,ACCIDENT,2,0,24,0,0,0,0,0,0,0
2019/4/1,FLOOD,1,0,9,0,0,0,0,0,0,0
2019/5/1,ACCIDENT,1,5,0,0,0,0,0,0,0,0
2019/5/1,FIRE,2,0,0,0,0,0,0,0,0,0
2019/6/1,FIRE,1,0,0,0,0,0,0,0,0,0
2019/7/1,FIRE,3,0,0,0,0,0,0,0,0,0
2019/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
2019/8/1,ACCIDENT,3,0,48,0,0,0,0,0,0,0
2019/9/1,ACCIDENT,1,0,6,0,0,0,0,0,0,0
2019/9/1,FIRE,1,0,1,0,0,0,0,0,0,0
2020/9/1,ACCIDENT,1,0,16,0,0,0,0,0,0,0
2020/10/1,FIRE,1,0,0,0,0,0,0,0,0,0
