Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
2006/12/1,FIRE,51,0,0,0,56,6,249,0,0,0
2007/1/1,FLOOD,14,0,0,0,0,0,0,0,0,0
2007/1/1,FIRE,62,1,1,8,261,29,850,0,0,0
2007/1/1,FOREST FIRE,2,0,0,0,0,0,0,0,0,0
2007/2/1,FIRE,81,0,8,7,1371,1,3666,0,0,0
2007/3/1,FIRE,136,0,0,0,2461,1,14525,0,0,0
2007/3/1,FOREST FIRE,5,0,0,0,60,0,455,0,0,0
2007/4/1,FIRE,94,0,0,0,675,60,10417,0,0,0
2007/4/1,STORM,4,0,0,0,0,114,232,0,0,0
2007/5/1,FIRE,41,0,1,0,103,0,73,0,0,0
2007/6/1,FIRE,31,0,0,0,39,26,265,0,0,0
2007/7/1,FIRE,17,0,0,0,30,0,122,0,0,0
2007/7/1,FLOOD,4,0,0,0,404,0,220,0,0,0
2007/7/1,RIVERBANK EROSION,2,0,0,0,24,0,0,0,130,0
2007/7/1,STORM,1,0,0,0,12,0,62,0,0,0
2007/8/1,FIRE,27,2,8,0,38,0,3,0,0,0
2007/8/1,FLOOD,6,0,0,0,0,410,0,0,0,2518
2007/8/1,STORM,31,0,0,0,12,0,69,0,0,0
2007/8/1,TORNADO,1,0,0,0,7,0,40,0,0,0
2007/9/1,FIRE,28,0,0,0,36,0,76,0,0,0
2007/10/1,FIRE,44,0,1,0,28,0,111,0,0,0
2007/10/1,INDUSTRIAL FIRE,1,0,0,0,0,0,0,0,0,0
2007/11/1,FIRE,64,0,0,0,182,0,991,0,0,0
2007/12/1,FIRE,76,0,0,0,174,11,859,0,0,0
2008/1/1,FLOOD,4,0,0,0,0,0,0,0,0,0
2008/1/1,LAND SUBSIDENCE,3,0,0,0,0,0,0,0,0,0
2008/1/1,FIRE,86,2,0,0,97,78,665,0,0,0
2008/2/1,FIRE,117,12,1,0,95,675,6205,0,0,0
2008/3/1,FIRE,165,2,13,0,468,1114,8606,0,0,0
2008/3/1,FOREST FIRE,3,0,0,0,0,0,0,0,0,0
2008/3/1,INDUSTRIAL FIRE,1,0,0,0,0,0,0,0,0,0
2008/4/1,FIRE,88,0,13,0,318,235,2550,0,0,0
2008/4/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2008/4/1,STORM,28,0,0,0,0,702,2106,0,0,0
2008/5/1,CYCLONE,69,171504,0,107926,301541,155316,496912,2091408,0,0
2008/5/1,FIRE,44,0,2,0,66,0,202,0,0,0
2008/5/1,FLOOD,3,0,0,0,20,0,106,0,0,0
2008/5/1,INDUSTRIAL FIRE,2,0,0,0,0,0,0,0,0,0
2008/5/1,STORM,12,0,0,0,11,925,4483,0,0,0
2008/6/1,FIRE,25,0,0,0,11,1,17,0,0,0
2008/7/1,FIRE,29,0,0,0,0,6,27,0,0,0
2008/8/1,FIRE,29,0,0,0,49,180,1376,0,0,0
2008/8/1,FLOOD,8,0,0,0,0,790,622,0,0,3932
2008/8/1,STORM,6,0,0,0,0,39,202,0,0,0
2008/8/1,URBAN FIRE,2,0,0,0,22,0,114,0,0,0
2008/9/1,FIRE,35,0,4,0,8,17,147,0,0,0
2008/10/1,FIRE,44,2,7,0,0,59,250,0,0,0
2008/11/1,FIRE,61,2,3,0,0,51,262,0,0,0
2008/12/1,FIRE,75,5,10,0,16,46,301,0,0,0
2009/1/1,ANIMALS/ INSECTS,2,0,0,0,0,0,0,0,0,0
2009/1/1,CYCLONE,2,0,0,0,40,0,182,0,0,0
2009/1/1,EPIDEMIC/PANDEMIC,2,0,0,0,0,0,458,0,0,0
2009/1/1,FLOOD,1,0,0,0,0,0,0,0,0,0
2009/1/1,FIRE,101,2,8,0,175,284,2299,0,0,0
